ndvi,ndwi,nbr,blue,green,red,nir,swir1,swir2,temp,soil_moisture,wind_u,wind_v,elev,slope,aspect,landcover,month,NAME_1,NAME_2,veg_stress,fire_weather_idx,wind_speed,drought_proxy,terrain_roughness,hot_dry_stress,ndvi_anomaly,moisture_anomaly,temp_anomaly,month_sin,month_cos,cluster_id
0.2343085124827586,-0.2505790691034483,0.121715606,1775.6206896551723,2081.4137931034484,2160.551724137931,3493.637931034483,3539.655172413793,2771.103448275862,30.192330896551724,0.2906452131034483,-0.19150473793103445,1.061148159310345,45.3448275862069,0.1724137931034483,140.31034482758622,40.0,5,Phitsanulok,Bang Rakam,0.00654277316413931,21.417074449033624,1.0782900725953881,0.5431469219562964,0.6613982226028657,0.19754157235277275,-0.06576773361090474,-0.058327341547819156,1.0716065460169197,0.49999999999999994,-0.8660254037844387,1
0.2824664676470588,-0.2778705964705882,0.17044335164705882,1806.9705882352941,2135.4411764705883,2120.4117647058824,3802.529411764706,3495.705882352941,2748.294117647059,28.52952911764706,0.3669452323529412,0.07812879276470588,0.8420821529411765,46.05882352941177,0.0,151.58823529411765,40.0,6,Phitsanulok,Bang Rakam,-0.042040783422949216,18.060754426652057,0.8456988001415855,0.4542380236026646,0.0,-1.1994037547937235,-0.06812651148118154,-0.0568834805957904,1.4476898291524698,1.2246467991473532e-16,-1.0,1
0.33043666684210526,-0.31764864894736844,0.22286804427894735,1776.657894736842,2117.0,2071.7631578947367,4090.684210526316,3479.2894736842104,2641.684210526316,27.866164684210528,0.3953674968421053,0.09353487578947368,0.8464940721052632,46.0,0.05263157894736842,132.42105263157896,40.0,7,Phitsanulok,Bang Rakam,-0.08076576779079016,16.848788906424335,0.8516460456658639,0.40483975415000134,0.20263934745842413,-2.250632186104865,-0.0744804993276515,-0.04432301774782621,1.2505935741750704,-0.4999999999999997,-0.8660254037844388,1
0.3014479340909091,-0.28283204954545454,0.25563099272727274,1660.9772727272727,1941.25,1862.090909090909,3542.7727272727275,2714.181818181818,2092.318181818182,27.940110227272726,0.38446809863636366,0.185655489,0.7118688186363636,44.18181818181818,0.09090909090909091,130.9090909090909,40.0,8,Phitsanulok,Bang Rakam,-0.13242719008729636,17.19802917250276,0.7356800768965822,0.42998108133051893,0.3464267957543871,-3.7000302881270586,-0.11361819103088355,-0.04442744835822787,1.2089044995527587,-0.8660254037844385,-0.5000000000000004,1
0.22317253179000002,-0.191366245,0.21411600344999998,1569.1,1809.2,1700.225,2874.45,2261.275,1804.1,27.39874735,0.4115410335,-0.31085475630000003,0.827137403,43.55,0.15,119.25,40.0,9,Phitsanulok,Bang Rakam,-0.11939404852880667,16.123038548975615,0.8836215043534856,0.4571310890916682,0.5694918230875227,-3.271247370734413,-0.18467251881646574,-0.03589061039726954,1.1837311919247853,-1.0,-1.8369701987210297e-16,1
0.32280236285714287,-0.2985284092857143,0.2567610714285714,1550.9285714285713,1802.5714285714287,1711.0714285714287,3421.6428571428573,2625.1071428571427,2015.4642857142858,27.375964785714284,0.3707353228571429,-0.089532676,-0.025856731857142854,44.92857142857143,0.14285714285714285,174.85714285714286,40.0,10,Phitsanulok,Bang Rakam,-0.13172955954090793,17.226727642356725,0.09319158038177677,0.42613655249860577,0.5467267706603373,-3.6062237832295487,-0.08098578917874394,-0.03817932282795333,1.0992137938399225,-0.8660254037844386,0.5000000000000001,1
0.2734585652903226,-0.2593216781935484,0.21615329364516128,1571.6451612903227,1824.483870967742,1770.6451612903227,3179.548387096774,2671.7096774193546,2047.774193548387,25.97452212903226,0.2773802890322581,-0.08110420296774194,-0.49653683,45.67741935483871,0.12903225806451613,171.3548387096774,40.0,11,Phitsanulok,Bang Rakam,-0.08679137101648651,18.76970167340651,0.5031169995989815,0.5250131615559956,0.49590458350275324,-2.254364387076778,-0.08102686871480075,-0.05219036468256055,1.3264659654763378,-0.5000000000000004,0.8660254037844384,1
0.2681293611428571,-0.25944783019047624,0.2048736538095238,1580.452380952381,1840.7380952380952,1810.547619047619,3221.9285714285716,2742.809523809524,2126.7380952380954,24.68473085714286,0.1906428419047619,-0.011004467380952376,-0.4901581452380952,45.904761904761905,0.047619047619047616,133.95238095238096,40.0,12,Phitsanulok,Bang Rakam,-0.08032524477834552,19.978763614882975,0.49028165950358377,0.5923447403587635,0.18324377159279362,-1.982807048387579,-0.07668800589764047,-0.04880776617216637,0.8684143055475779,-2.4492935982947064e-16,1.0,1
0.43605072093749997,-0.4216714640625,0.28003286946875,1335.125,1554.90625,1514.71875,3829.171875,3122.125,2197.03125,20.64306590625,0.262019759375,-0.9072138259375,-0.049459351750000005,574.90625,6.28125,159.0625,10.0,1,Phitsanulok,Chat Trakan,-0.10171438331761447,15.23417474473211,0.9085610345197986,0.41618342466283903,39.9232788216717,-2.099696718439091,0.09343598247735185,0.051203536648414344,-2.156014920395549,0.49999999999999994,0.8660254037844387,0
0.3823875845901639,-0.38647582901639344,0.2175973680147541,1454.688524590164,1681.5655737704917,1712.0737704918033,3813.1393442622953,3479.9508196721313,2503.122950819672,23.912966262295082,0.27595108196721313,-0.5933035409016394,0.3401576692131148,485.37704918032784,8.836065573770492,196.1639344262295,10.0,2,Phitsanulok,Chat Trakan,-0.04568550738507971,17.314157349169292,0.6838978955742752,0.447181601141108,54.66859760437431,-1.092475996775244,0.049807261259976865,0.054965738284399934,-1.9274259822003188,0.8660254037844386,0.5000000000000001,0
0.37449590150537637,-0.37137733118279576,0.22571011495376345,1596.9086021505377,1816.3064516129032,1816.6344086021506,3980.6935483870966,3557.3172043010754,2568.2150537634407,25.548141107526884,0.27878248946236556,-0.18105434033096776,0.6286272203225806,637.3978494623656,9.935483870967742,199.4516129032258,10.0,3,Phitsanulok,Chat Trakan,-0.05616552667809249,18.42576672843474,0.654181057722689,0.4511245087473797,64.17290956993322,-1.4349248009504727,0.056263445077903707,0.05243884482235686,-2.6227083461237903,1.0,6.123233995736766e-17,0
0.3791047510743802,-0.37121695752066114,0.23742240556694216,1557.5082644628098,1772.702479338843,1750.5413223140497,3871.3925619834713,3424.380165289256,2423.0206611570247,28.51687685123967,0.285197589338843,0.22091990090909092,1.0231685456198347,701.8429752066115,9.380165289256198,182.94214876033058,10.0,4,Phitsanulok,Chat Trakan,-0.061270055050089964,20.38393231779346,1.046747092359702,0.4438174207000922,61.48823575129519,-1.7472306145320906,0.0809163275119823,0.060306181155575095,-2.5398298346799315,0.8660254037844387,-0.4999999999999998,0
0.36230514236842104,-0.3615433823684211,0.18541201451578945,1707.8552631578948,1968.407894736842,1979.3552631578948,4232.921052631579,4025.6447368421054,2944.5,26.701521736842107,0.41183549342105263,0.09899588602631579,0.6812734110526315,493.6842105263158,9.894736842105264,210.44736842105263,10.0,5,Phitsanulok,Chat Trakan,-0.025098342865848264,15.704887357256775,0.6884283884743736,0.3750694812868097,61.386151836069786,-0.6701639475911635,0.062228896274757695,0.06286293876978516,-2.419202613692697,0.49999999999999994,-0.8660254037844387,0
0.42314113,-0.39781515645161286,0.2639754480645161,1746.6290322580646,2020.532258064516,1903.5806451612902,4734.370967741936,3842.532258064516,2757.516129032258,25.060387,0.46506495032258066,0.6111538286064515,0.9752513225806452,630.483870967742,7.290322580645161,166.70967741935485,10.0,6,Phitsanulok,Chat Trakan,-0.10398143550110793,13.405679364780353,1.1509231705094922,0.30858202828031,47.008527824001405,-2.6058150144733037,0.07254815087175964,0.04123623737384907,-2.02145228849459,1.2246467991473532e-16,-1.0,0
0.4815917551428571,-0.43262498885714284,0.34805490885714285,1674.442857142857,1940.5142857142857,1718.4142857142858,4904.071428571428,3502.9714285714285,2369.3571428571427,24.820161485714284,0.4727182017142857,0.5789349881714286,0.9577624737142857,514.9142857142857,6.514285714285714,176.37142857142857,10.0,7,Phitsanulok,Chat Trakan,-0.166657887159803,13.087219381929254,1.1191401505550411,0.2733472315944152,40.687841875132406,-4.136475672174259,0.07667458897310037,0.033027687124354166,-1.7954096243211737,-0.4999999999999997,-0.8660254037844388,0
0.5321382781818181,-0.47272788060606064,0.3724896969696969,1537.8333333333333,1812.9848484848485,1546.5,5095.939393939394,3559.4545454545455,2323.5757575757575,24.836396757575756,0.46607093909090913,0.5369691690909091,0.8409975772727273,521.0909090909091,9.030303030303031,187.75757575757575,10.0,8,Phitsanulok,Chat Trakan,-0.17751761029780663,13.260873997138013,0.9978039955486139,0.24980496976569216,56.510207120110486,-4.408897800813041,0.1170721530600255,0.037175392096317594,-1.8948089701442115,-0.8660254037844385,-0.5000000000000004,0
0.5309730953846153,-0.470021335,0.38690014115384613,1443.8653846153845,1656.076923076923,1406.673076923077,4615.384615384615,3140.0,2032.6538461538462,24.494188961538462,0.4756947711538461,0.10474733423846153,0.4046230115384616,568.7307692307693,8.26923076923077,158.0,10.0,9,Phitsanulok,Chat Trakan,-0.1902400317152041,12.842431348880359,0.41796146412859403,0.2459132585593724,52.46962467809703,-4.659775284881279,0.12312804477814959,0.028263127256576592,-1.720827196536753,-1.0,-1.8369701987210297e-16,0
0.4804982392592593,-0.4390536955555555,0.34169453703703706,1409.2962962962963,1632.6851851851852,1475.351851851852,4196.0,3073.5,2071.1481481481483,24.557282555555556,0.4436861196296296,-0.4857419288888889,-0.11156574374074074,466.4074074074074,5.592592592592593,171.33333333333334,10.0,10,Phitsanulok,Chat Trakan,-0.15441227042376884,13.661557149832719,0.49838954308565003,0.28900604037692124,34.37879228828601,-3.7919457548413456,0.07671008722337247,0.03477147394453339,-1.719468436318806,-0.8660254037844386,0.5000000000000001,0
0.5224103158333333,-0.4731941933333333,0.3740629709166667,1282.9791666666667,1500.3541666666667,1316.0,4216.104166666667,2930.0208333333335,1927.7708333333333,22.27842,0.3746034491666667,-0.9534917683333334,-0.23166261920833334,666.4166666666666,11.375,200.33333333333334,10.0,11,Phitsanulok,Chat Trakan,-0.17996933067268822,13.932847026016349,0.9812309215561301,0.2986829411914143,73.97634037584338,-4.009432335845031,0.16792488182820997,0.04503279545184807,-2.3696361635559207,-0.5000000000000004,0.8660254037844384,0
0.4587637597222223,-0.4350962036111111,0.30972657295833333,1290.6944444444443,1502.986111111111,1427.0694444444443,3820.847222222222,2987.472222222222,2045.4583333333333,21.831905416666665,0.29574324194444446,-0.9692583122222221,-0.2870896599166667,479.8333333333333,6.305555555555555,175.80555555555554,10.0,12,Phitsanulok,Chat Trakan,-0.12240539044589403,15.375266930917189,1.0108818668088462,0.38116927992020544,38.940088919586415,-2.672342906704912,0.11394639268172468,0.05629263386751618,-1.9844111349286173,-2.4492935982947064e-16,1.0,0
